word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
commission,S3,W2,,kəˈmɪʃn,kəˈmɪʃ(ə)n
commitment,S2,W2,,kəˈmɪtmənt,kəˈmɪtm(ə)nt
committee,S3,W1,kəˈmɪtɪ,,
communication,S2,W1,,kəˌmjuːnɪˈkeɪʃn,kəmjuːnɪˈkeɪʃ(ə)n
community,S1,W1,,kəˈmjuːnətɪ,kəˈmjuːnɪtɪ
company,S1,W1,,ˈkʌmpənɪ,ˈkʌmp(ə)nɪ
comparison,S3,W2,,kəmˈpærɪsn,kəmˈpærɪs(ə)n
competition,S2,W1,,ˌkɑːmpəˈtɪʃn,kɒmpɪˈtɪʃ(ə)n
complaint,S3,W3,kəmˈpleɪnt,,
component,,W2,kəmˈpəʊnənt,,
computer,S1,W1,,kəmˈpjuːtər,kəmˈpjuːtə
concentration,S3,W2,,ˌkɑːnsnˈtreɪʃn,kɒns(ə)nˈtreɪʃ(ə)n
concept,S3,W2,,ˈkɑːnsept,ˈkɒnsept
concern,S1,W1,,kənˈsɜːrn,kənˈsɜːn
concert,S3,W3,,ˈkɑːnsərt,ˈkɒnsət
conclusion,S3,W2,,kənˈkluːʒn,kənˈkluːʒ(ə)n
condition,S2,W1,,kənˈdɪʃn,kənˈdɪʃ(ə)n
conduct,,W3,,kənˈdʌkt,ˈkɑːndʌkt (strong)/ˈkɒndʌkt (weak)
conference,S2,W1,,ˈkɑːnfərəns,ˈkɒnf(ə)r(ə)ns
confidence,S2,W2,,ˈkɑːnfɪdəns,ˈkɒnfɪd(ə)ns
conflict,S3,W2,,ˈkɑːnflɪkt (strong)/ˈkɒnflɪkt (weak),kənˈflɪkt
confusion,S3,W3,,kənˈfjuːʒn,kənˈfjuːʒ(ə)n
congratulation,S3,,,kənˌɡrætʃʊˈleɪʃn,kənɡrætjʊˈleɪʃ(ə)n
connection,S3,W2,,kəˈnekʃn,kəˈnekʃ(ə)n
consciousness,,W3,,ˈkɑːnʃəsnəs,ˈkɒnʃəsnɪs
consent,,W3,kənˈsent,,
consequence,S3,W2,,ˈkɑːnsəkwens,ˈkɒnsɪkw(ə)ns
consideration,S2,W2,,kənˌsɪdəˈreɪʃn,kənsɪdəˈreɪʃ(ə)n
construction,S3,W2,,kənˈstrʌkʃn,kənˈstrʌkʃ(ə)n
consumer,S3,W2,,kənˈsuːmər,kənˈsjuːmə
consumption,,W3,,kənˈsʌmpʃn,kənˈsʌm(p)ʃ(ə)n
contact,S2,W2,,ˈkɑːntækt,ˈkɒntækt
content,S3,W2,,ˈkɑːntent,kənˈtent
contest,,W3,,ˈkɑːntest (strong)/ˈkɒntest (weak),kənˈtest
context,S2,W2,,ˈkɑːntekst,ˈkɒntekst
contract,S1,W1,,ˈkɑːntrækt (strong)/ˈkɒntrækt (weak),kənˈtrækt
contrast,,W2,,ˈkɑːntræst (strong)/ˈkɒntrɑːst (weak),kənˈtræst (strong)/kənˈtrɑːst (weak)
contribution,S2,W2,,ˌkɑːntrɪˈbjuːʃn,kɒntrɪˈbjuːʃ(ə)n
control,S1,W1,kənˈtrəʊl,,
convention,,W2,,kənˈvenʃn,kənˈvenʃ(ə)n
conversation,S1,W2,,ˌkɑːnvərˈseɪʃn,kɒnvəˈseɪʃ(ə)n
conviction,,W3,,kənˈvɪkʃn,kənˈvɪkʃ(ə)n
cooker,S3,,,ˈkʊkər,ˈkʊkə
cookie,S3,W3,ˈkʊkɪ,,
cooperation,S3,W3,,kəʊˌɑːpəˈreɪʃn,kəʊˌɒpəˈreɪʃ(ə)n
copy,S1,W2,,ˈkɑːpɪ,ˈkɒpɪ
core,,W3,,kɔːr,kɔː
corn,S3,,,kɔːrn,kɔːn
corner,S1,W2,,ˈkɔːrnər,ˈkɔːnə
corridor,S3,W3,,ˈkɔːrɪdɔːr,ˈkɒrɪdɔː
cost,S1,W1,,kɔːst,kɒst
cottage,S3,W3,,ˈkɑːtɪdʒ,ˈkɒtɪdʒ
cotton,,W3,,ˈkɑːtn,ˈkɒt(ə)n
council,S2,W2,,ˈkaʊnsl,ˈkaʊns(ə)l
counter,S3,,,ˈkaʊntər,ˈkaʊntə
country,S1,W1,ˈkʌntrɪ,,
countryside,S3,W3,ˈkʌntrɪsaɪd,,
county,,W2,ˈkaʊntɪ,,
couple,S1,W1,,ˈkʌpl,ˈkʌp(ə)l
courage,S3,,,ˈkɜːrɪdʒ,ˈkʌrɪdʒ
course,S1,W1,,kɔːrs,kɔːs
court,S1,W1,,kɔːrt,kɔːt
cousin,S2,,,ˈkʌzn,ˈkʌz(ə)n
cover,S1,W2,,ˈkʌvər,ˈkʌvə
cow,S2,,kaʊ,,
craft,,W3,,kræft,krɑːft
crash,S3,,kræʃ,,
creation,,W2,,krɪˈeɪʃn,kriːˈeɪʃ(ə)n
creature,,W3,,ˈkriːtʃər,ˈkriːtʃə
credit,S2,W2,ˈkredɪt,,
credit card,S3,W3,,,
crew,S3,W3,kruː,,
crime,S2,W2,kraɪm,,
crisis,S3,W2,ˈkraɪsɪs,,
criterion,,W2,,kraɪˈtɪrɪən,kraɪˈtɪərɪən
critic,,W3,ˈkrɪtɪk,,
criticism,S3,W2,,ˈkrɪtɪsɪzəm,ˈkrɪtɪsɪz(ə)m
crop,,W3,,krɑːp,krɒp
cross,S3,W3,,krɔːs,krɒs
crowd,S3,W2,kraʊd,,
crown,,W3,kraʊn,,
cry,,W3,kraɪ,,
culture,S2,W1,,ˈkʌltʃər,ˈkʌltʃə
cup,S1,W1,kʌp,,
cupboard,S2,,,ˈkʌbərd,ˈkʌbəd
currency,,W2,,ˈkɜːrənsɪ,ˈkʌr(ə)nsɪ
current,,W3,,ˈkɜːrənt,ˈkʌr(ə)nt
curtain,S3,W3,,ˈkɜːrtn,ˈkɜːt(ə)n
curve,S3,W3,,kɜːrv,kɜːv
cushion,S3,,,ˈkʊʃn,ˈkʊʃ(ə)n
custom,,W3,ˈkʌstəm,,
customer,S1,W1,,ˈkʌstəmər,ˈkʌstəmə
cut,S2,W2,kʌt,,
cycle,S3,W3,,ˈsaɪkl,ˈsaɪk(ə)l
dad,S1,W3,dæd,,
daddy,S1,,ˈdædɪ,,
damage,S3,W2,ˈdæmɪdʒ,,
dance,S2,W3,,dæns,dɑːns
danger,S2,W2,,ˈdeɪndʒər,ˈdeɪn(d)ʒə
darkness,,W3,,ˈdɑːrknəs,ˈdɑːknəs
darling,S2,,,ˈdɑːrlɪŋ,ˈdɑːlɪŋ
data,S1,W1,,ˈdætə,ˈdɑːtə
database,S3,W3,ˈdeɪtəbeɪs,,
date,S1,W1,deɪt,,
daughter,S1,W1,,ˈdɔːtər,ˈdɔːtə
day,S1,W1,deɪ,,
deal,S1,W1,diːl,,
dealer,,W3,,ˈdiːlər,ˈdiːlə
dear,S2,,,dɪr,dɪə
death,S1,W1,deθ,,
debate,S2,W2,dɪˈbeɪt,,
debt,S3,W2,det,,
decade,,W2,ˈdekeɪd,,
decision,S1,W1,,dɪˈsɪʒn,dɪˈsɪʒ(ə)n
decline,,W2,dɪˈklaɪn,,
defeat,,W3,dɪˈfiːt,,
defence,S2,W1,dɪˈfens,,
definition,S2,W2,,ˌdefɪˈnɪʃn,defɪˈnɪʃ(ə)n
degree,S2,W1,dɪˈɡriː,,
delay,,W3,dɪˈleɪ,,
delivery,S3,W3,,dɪˈlɪvərɪ,dɪˈlɪv(ə)rɪ
demand,S2,W1,,dɪˈmænd,dɪˈmɑːnd
democracy,,W2,,dɪˈmɑːkrəsɪ,dɪˈmɒkrəsɪ
demonstration,,W3,,ˌdemənˈstreɪʃn,demənˈstreɪʃ(ə)n
dentist,S3,,ˈdentɪst,,
department,S2,W1,,dɪˈpɑːrtmənt,dɪˈpɑːtm(ə)nt
departure,,W3,,dɪˈpɑːrtʃər,dɪˈpɑːtʃə
deposit,S3,W3,,dɪˈpɑːzɪt,dɪˈpɒzɪt
depression,,W3,,dɪˈpreʃn,dɪˈpreʃ(ə)n
depth,S3,W3,depθ,,
description,S2,W2,,dɪˈskrɪpʃn,dɪˈskrɪpʃ(ə)n
desert,,W3,,ˈdezərt (strong)/ˈdezət (weak),dɪˈzɜːrt (strong)/dɪˈzɜːt (weak)
design,S2,W1,dɪˈzaɪn,,
designer,,W3,,dɪˈzaɪnər,dɪˈzaɪnə
desire,,W2,,dɪˈzaɪər,dɪˈzaɪə
desk,S2,W2,desk,,
destruction,,W3,,dɪˈstrʌkʃn,dɪˈstrʌkʃ(ə)n
detail,S2,W1,ˈdiːteɪl,,
determination,,W3,,dɪˌtɜːrmɪˈneɪʃn,dɪˌtɜːmɪˈneɪʃ(ə)n
development,S1,W1,,dɪˈveləpmənt,dɪˈveləpm(ə)nt
device,S3,W2,dɪˈvaɪs,,
devil,S3,,,ˈdevl,ˈdev(ə)l
diagram,S3,,,ˈdaɪəɡræm,ˈdæɪəɡræm
diamond,S3,,,ˈdaɪəmənd,ˈdaɪ(ə)mənd
diary,S3,,ˈdaɪərɪ,,
diet,S3,W2,ˈdaɪət,,
difference,S1,W1,,ˈdɪfrəns,ˈdɪf(ə)r(ə)ns
difficulty,S2,W1,,ˈdɪfɪkəltɪ,ˈdɪfɪk(ə)ltɪ
dimension,,W3,,daɪˈmenʃn,dɪˈmenʃ(ə)n
dinner,S1,W2,,ˈdɪnər,ˈdɪnə
direction,S1,W1,,dəˈrekʃn,dɪˈrekʃ(ə)n
director,S2,W1,,dəˈrektər,dɪˈrektə
directory,S3,,,dəˈrektərɪ,dɪˈrekt(ə)rɪ
dirt,S3,,,dɜːrt,dɜːt
disaster,S3,W3,,dɪˈzæstər,dɪˈzɑːstə
disc,S2,W3,dɪsk,,
discipline,S3,W3,,ˈdɪsəplɪn,ˈdɪsɪplɪn
discount,S3,,ˈdɪskaʊnt,,
discovery,,W3,,dɪˈskʌvərɪ,dɪˈskʌv(ə)rɪ
discussion,S2,W1,,dɪˈskʌʃn,dɪˈskʌʃ(ə)n
disease,S3,W1,dɪˈziːz,,
dish,S2,W3,dɪʃ,,
disk,S2,W3,dɪsk,,
display,S3,W2,dɪˈspleɪ,,
dispute,,W2,dɪˈspjuːt,,
distance,S2,W2,,ˈdɪstəns,ˈdɪst(ə)ns
distinction,,W3,,dɪˈstɪŋkʃn,dɪˈstɪŋ(k)ʃ(ə)n
distribution,,W2,,ˌdɪstrɪˈbjuːʃn,dɪstrɪˈbjuːʃ(ə)n
district,S3,W2,ˈdɪstrɪkt,,
division,S3,W1,,dɪˈvɪʒn,dɪˈvɪʒ(ə)n
divorce,S3,,,dɪˈvɔːrs,dɪˈvɔːs
doctor,S1,W1,,ˈdɑːktər,ˈdɒktə
document,S2,W2,,ˈdɑːkjʊmənt (strong)/ˈdɒkjʊmənt (weak),ˈdɑːkjʊment (strong)/ˈdɒkjʊment (weak)
dog,S1,W1,,dɔːɡ,dɒɡ
dollar,S1,W2,,ˈdɑːlər,ˈdɒlə
door,S1,W1,,dɔːr,dɔː
dot,S2,,,dɑːt,dɒt
doubt,S1,W1,daʊt,,
draft,S2,W3,,dræft,drɑːft
drama,,W3,ˈdrɑːmə,,
draw,S3,,drɔː,,
drawer,S3,,,drɔːr,drɔː
drawing,S3,W3,ˈdrɔːɪŋ,,
dream,S2,W2,driːm,,
dress,S2,W2,dres,,
