word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
blind,S2,W3,blaɪnd,,
blonde,S3,,,blɑːnd,blɒnd
blue,S1,W2,bluː,,
boiling,S3,,ˈbɔɪlɪŋ,,
bored,S3,,,bɔːrd,bɔːd
boring,S2,,ˈbɔːrɪŋ,,
bottom,S1,W3,,ˈbɑːtəm,ˈbɒtəm
bound,S2,W3,baʊnd,,
brave,S3,,breɪv,,
brief,S2,W2,,brɪf,briːf
bright,S2,W2,braɪt,,
brilliant,S2,W3,,ˈbrɪlɪənt,ˈbrɪlj(ə)nt
broad,S2,W2,brɔːd,,
brown,S2,W2,braʊn,,
busy,S1,W2,ˈbɪzɪ,,
calm,S3,W3,kɑːm,,
capable,S2,W2,,ˈkeɪpəbl,ˈkeɪpəb(ə)l
capital,S2,W3,,ˈkæpɪtl,ˈkæpɪt(ə)l
careful,S1,W2,,ˈkerfl,ˈkeəfʊl
central,S1,W1,,ˈsentrəl,ˈsentr(ə)l
certain,S1,W1,,ˈsɜːrtn,ˈsɜːt(ə)n
cheap,S1,W2,tʃiːp,,
chemical,,W3,,ˈkemɪkl,ˈkemɪk(ə)l
chief,S2,W2,tʃiːf,,
civil,S3,W2,,ˈsɪvl,ˈsɪv(ə)l
classic,,W3,ˈklæsɪk,,
classical,,W3,,ˈklæsɪkl,ˈklæsɪk(ə)l
clean,S2,W2,kliːn,,
clear,S1,W1,,klɪr,klɪə
clever,S2,,,ˈklevər,ˈklevə
close,S1,W1,kləʊz,,
closed,S3,,kləʊzd,,
cold,S1,W1,kəʊld,,
comfortable,S2,W3,,ˈkʌmftəbl,ˈkʌmf(ə)təb(ə)l
commercial,S3,W2,,kəˈmɜːrʃl,kəˈmɜːʃ(ə)l
common,S1,W1,,ˈkɑːmən,ˈkɒmən
competitive,S3,W3,,kəmˈpetətɪv,kəmˈpetɪtɪv
complete,S2,W1,kəmˈpliːt,,
complex,S3,W2,,kəmˈpleks,ˈkɒmpleks
complicated,S2,,,ˈkɑːmplɪkeɪtɪd,ˈkɒmplɪkeɪtɪd
comprehensive,,W3,,ˌkɑːmprɪˈhensɪv,kɒmprɪˈhensɪv
concerned,S1,W1,,kənˈsɜːrnd,kənˈsɜːnd
confident,S3,W3,,ˈkɑːnfɪdənt,ˈkɒnfɪd(ə)nt
confused,S3,,kənˈfjuːzd,,
confusing,S3,,kənˈfjuːzɪŋ,,
conscious,S2,W3,,ˈkɑːnʃəs,ˈkɒnʃəs
considerable,S3,W1,,kənˈsɪdərəbl,kənˈsɪd(ə)rəb(ə)l
consistent,S3,W3,,kənˈsɪstənt,kənˈsɪst(ə)nt
constant,S3,W3,,ˈkɑːnstənt,ˈkɒnst(ə)nt
contemporary,,W2,,kənˈtempərerɪ,kənˈtemp(ə)r(ər)ɪ
continuous,S3,W3,kənˈtɪnjʊəs,,
convenient,S3,,kənˈviːnɪənt,,
conventional,,W3,,kənˈvenʃənl,kənˈvenʃ(ə)n(ə)l
cool,S2,W3,kuːl,,
correct,S1,W2,kəˈrekt,,
crazy,S2,,ˈkreɪzɪ,,
creative,,W3,,krɪˈeɪtɪv,kriːˈeɪtɪv
criminal,S3,W2,,ˈkrɪmɪnl,ˈkrɪmɪn(ə)l
critical,S3,W2,,ˈkrɪtɪkl,ˈkrɪtɪk(ə)l
cross,S2,,,krɔːs,krɒs
crucial,,W2,,ˈkruːʃl,ˈkruːʃ(ə)l
cruel,S3,,,ˈkruːəl,krʊəl
cultural,,W2,,ˈkʌltʃərəl,ˈkʌltʃ(ə)r(ə)l
curious,S3,,,ˈkjʊrɪəs,ˈkjʊərɪəs
current,S2,W2,,ˈkɜːrənt,ˈkʌr(ə)nt
cute,S2,,kjuːt,,
daft,S3,,,dæft,dɑːft
daily,S3,W2,ˈdeɪlɪ,,
dangerous,S2,W2,,ˈdeɪndʒərəs,ˈdeɪn(d)ʒ(ə)rəs
dark,S2,W1,,dɑːrk,dɑːk
dead,S1,W1,ded,,
deaf,,W3,def,,
dear,S2,W2,,dɪr,dɪə
decent,S3,,,ˈdiːsnt,ˈdiːs(ə)nt
deep,S2,W1,diːp,,
definite,S3,,ˈdefɪnət,,
democratic,,W2,,ˌdeməˈkrætɪk,deməˈkrætɪk
dependent,,W3,,dɪˈpendənt,dɪˈpend(ə)nt
desperate,S3,W3,,ˈdespərət,ˈdesp(ə)rət
detailed,,W2,ˈdiːteɪld,,
determined,,W3,,dɪˈtɜːrmɪnd,dɪˈtɜːmɪnd
different,S1,W1,,ˈdɪfrənt,ˈdɪf(ə)r(ə)nt
difficult,S1,W1,,ˈdɪfɪkəlt,ˈdɪfɪk(ə)lt
direct,S2,W1,,dəˈrekt,dɪˈrekt
dirty,S2,W3,,ˈdɜːrtɪ,ˈdɜːtɪ
disabled,S3,W3,dɪsˈeɪbld,,
disappointed,S3,W3,,ˌdɪsəˈpɔɪntɪd,dɪsəˈpɔɪntɪd
disgusting,S2,,dɪsˈɡʌstɪŋ,,
distant,,W3,,ˈdɪstənt,ˈdɪst(ə)nt
distinct,,W3,,dɪˈstɪŋkt,dɪˈstɪŋ(k)t
domestic,,W2,dəˈmestɪk,,
dominant,,W3,,ˈdɑːmɪnənt,ˈdɒmɪnənt
double,S1,W2,,ˈdʌbl,ˈdʌb(ə)l
down,S1,W1,daʊn,,
dramatic,,W3,drəˈmætɪk,,
drunk,S3,,drʌŋk,,
dry,S2,W2,draɪ,,
due,S1,W1,,duː,djuː
dull,S3,,dʌl,,
dumb,S3,,dʌm,,
early,S1,W1,,ˈɜːrlɪ,ˈɜːlɪ
eastern,S2,W2,,ˈiːstərn,ˈiːst(ə)n
easy,S1,W1,ˈiːzɪ,,
economic,S2,W1,,ˌiːkəˈnɑːmɪk,ˌiːkəˈnɒmɪk
educational,S3,W2,,ˌedʒʊˈkeɪʃənl,edjʊˈkeɪʃ(ə)n(ə)l
effective,S2,W1,ɪˈfektɪv,,
efficient,S3,W3,,ɪˈfɪʃnt,ɪˈfɪʃ(ə)nt
elderly,S3,W2,,ˈeldərlɪ,ˈeldəlɪ
electric,S2,W3,ɪˈlektrɪk,,
electrical,S3,,,ɪˈlektrɪkl,ɪˈlektrɪk(ə)l
electronic,S3,W3,,ɪˌlekˈtrɑːnɪk,ɪlekˈtrɒnɪk
embarrassed,S3,,ɪmˈbærəst,,
emotional,S3,W3,,ɪˈməʊʃənl,ɪˈməʊʃ(ə)n(ə)l
empty,S2,W2,,ˈemptɪ,ˈem(p)tɪ
encouraging,S3,,,ɪnˈkɜːrɪdʒɪŋ,eŋˈkʌrɪdʒɪŋ ɪŋˈkʌrɪdʒɪŋ
enjoyable,S3,,,ɪnˈdʒɔɪəbl,ɪnˈdʒɔɪəb(ə)l
enormous,S2,W3,,ɪˈnɔːrməs,ɪˈnɔːməs
enthusiastic,S3,,,ɪnˌθuːzɪˈæstɪk,ɪnˌθjuːzɪˈæstɪk
entire,S3,W2,,ɪnˈtaɪər,ɪnˈtaɪə
environmental,S2,W2,,ɪnˌvaɪrənˈmentl,ɪnvaɪrənˈment(ə)l
equal,S1,W2,,ˈiːkwəl,ˈiːkw(ə)l
equivalent,,W3,,ɪˈkwɪvələnt,ɪˈkwɪv(ə)l(ə)nt
essential,S3,W2,,ɪˈsenʃl,ɪˈsenʃ(ə)l
ethnic,,W3,ˈeθnɪk,,
evil,S3,W3,ˈiːvl,,
exact,S3,,ɪɡˈzækt,,
excellent,S1,W2,,ˈeksələnt,ˈeks(ə)l(ə)nt
exciting,S2,W3,ɪkˈsaɪtɪŋ,,
executive,,W3,,ɪɡˈzekjətɪv,ɪɡˈzekjʊtɪv
existing,S2,W2,ɪɡˈzɪstɪŋ,,
expensive,S1,W2,ɪkˈspensɪv,,
experienced,S3,,,ɪkˈspɪrɪənst,ɪkˈspɪərɪənst
experimental,,W3,,ɪkˌsperɪˈmentl,ɪkˌsperɪˈment(ə)l
expert,,W3,,ˈekspɜːrt,ˈekspɜːt
extensive,,W3,ɪkˈstensɪv,,
external,,W2,,ɪkˈstɜːrnl,ɪkˈstɜːn(ə)l
extra,S1,W2,ˈekstrə,,
extraordinary,S3,W3,,ɪkˈstrɔːrdənerɪ,ɪkˈstrɔːd(ə)n(ə)rɪ
extreme,S3,W3,ɪkˈstriːm,,
fair,S1,W2,,fer,feə
false,,W3,fɔːls,,
familiar,S3,W2,,fəˈmɪlɪər,fəˈmɪlɪə
famous,S2,W2,ˈfeɪməs,,
fancy,S3,,ˈfænsɪ,,
fantastic,S3,,fænˈtæstɪk,,
far,S1,W1,,fɑːr,fɑː
fascinating,S3,,ˈfæsɪneɪtɪŋ,,
fast,S2,W2,,fæst,fɑːst
fat,S2,W3,fæt,,
favourite,S3,W3,,ˈfeɪvərɪt,ˈfeɪv(ə)rɪt
federal,,W1,,ˈfedərəl,ˈfed(ə)r(ə)l
fellow,,W3,ˈfeləʊ,,
female,S3,W2,ˈfiːmeɪl,,
few,S1,W1,fjuː,,
filthy,S3,,ˈfɪlθɪ,,
final,S1,W1,,ˈfaɪnl,ˈfaɪn(ə)l
financial,S2,W1,,faɪˈnænʃl,fæɪˈnænʃ(ə)l
fine,S1,W1,faɪn,,
firm,S3,W2,,fɜːrm,fɜːm
first,S1,W1,,fɜːrst,fɜːst
fit,S2,W3,fɪt,,
fixed,S3,W3,fɪkst,,
flat,S2,W2,flæt,,
following,S3,W1,,ˈfɑːləʊɪŋ,ˈfɒləʊɪŋ
foreign,S3,W1,,ˈfɔːrən,ˈfɒrɪn
formal,S2,W2,,ˈfɔːrml,ˈfɔːm(ə)l
former,S2,W1,,ˈfɔːrmər,ˈfɔːmə
fortunate,S3,,,ˈfɔːrtʃənət,ˈfɔːtʃ(ə)nət
forward,S2,W3,,ˈfɔːrwərd,ˈfɔːwəd
free,S1,W1,friː,,
frequent,,W3,,ˈfriːkwənt,frɪˈkwent
fresh,S2,W2,freʃ,,
friendly,S2,W3,,ˈfrendlɪ,ˈfren(d)lɪ
frightened,S3,,ˈfraɪtnd,,
front,S1,W2,frʌnt,,
full,S1,W1,fʊl,,
fun,S2,W3,fʌn,,
fundamental,,W2,,ˌfʌndəˈmentl,fʌndəˈment(ə)l
funny,S1,W3,ˈfʌnɪ,,
future,S1,W1,,ˈfjuːtʃər,ˈfjuːtʃə
gay,S3,W3,ɡeɪ,,
general,S1,W1,,ˈdʒenrəl,ˈdʒen(ə)r(ə)l
generous,,W3,,ˈdʒenərəs,ˈdʒen(ə)rəs
gentle,S3,W3,,ˈdʒentl,ˈdʒent(ə)l
genuine,S3,W3,ˈdʒenjʊɪn,,
giant,,W3,ˈdʒaɪənt,,
glad,S2,W3,ɡlæd,,
global,,W2,,ˈɡləʊbl,ˈɡləʊb(ə)l
gold,S3,W3,ɡəʊld,,
golden,,W3,,ˈɡəʊldən,ˈɡəʊld(ə)n
good,S1,W1,ɡʊd,,
gorgeous,S3,,,ˈɡɔːrdʒəs,ˈɡɔːdʒəs
grand,S2,W3,ɡrænd,,
grateful,S3,W3,,ˈɡreɪtfl,ˈɡreɪtfʊl
great,S1,W1,ɡreɪt,,
green,S1,W2,ɡriːn,,
grey,S2,W2,ɡreɪ,,
gross,S3,,ɡrəʊs,,
guilty,S2,W3,ˈɡɪltɪ,,
half,S1,W1,,hæf,hɑːf
halfway,S3,,,ˌhæfˈweɪ,hɑːfˈweɪ
handy,S3,,ˈhændɪ,,
happy,S1,W1,ˈhæpɪ,,
hard,S1,W1,,hɑːrd,hɑːd
healthy,S3,W3,ˈhelθɪ,,
heavy,S1,W1,ˈhevɪ,,
helpful,S2,W3,,ˈhelpfl,ˈhelpfʊl
high,S1,W1,haɪ,,
historical,,W2,,hɪˈstɔːrɪkl,hɪˈstɒrɪk(ə)l
holy,,W3,ˈhəʊlɪ,,
honest,S1,W3,,ˈɑːnɪst,ˈɒnɪst
hopeless,S3,,,ˈhəʊpləs,ˈhəʊplɪs
horrible,S2,,,ˈhɔːrəbl,ˈhɒrɪb(ə)l
hot,S1,W2,,hɑːt,hɒt
huge,S1,W2,hjuːdʒ,,
human,S2,W1,ˈhjuːmən,,
hungry,S2,,ˈhʌŋɡrɪ,,
ideal,S3,W3,,aɪˈdiːəl,aɪˈdɪəl
ill,S3,W2,ɪl,,
illegal,,W3,,ɪˈliːɡl,ɪˈliːɡ(ə)l
immediate,S3,W2,ɪˈmiːdɪət,,
important,S1,W1,,ɪmˈpɔːrtnt,ɪmˈpɔːt(ə)nt
impossible,S2,W2,,ɪmˈpɑːsəbl,ɪmˈpɒsɪb(ə)l
impressive,,W3,ɪmˈpresɪv,,
incredible,S3,,,ɪnˈkredəbl,ɪnˈkredɪb(ə)l
independent,S2,W2,,ˌɪndɪˈpendənt,ɪndɪˈpend(ə)nt
individual,S2,W1,,ˌɪndɪˈvɪdʒʊəl,ɪndɪˈvɪdʒʊ(ə)l
industrial,S3,W1,ɪnˈdʌstrɪəl,,
inevitable,,W3,,ɪnˈevɪtəbl,ɪnˈevɪtəb(ə)l
informal,,W3,,ɪnˈfɔːrml,ɪnˈfɔːm(ə)l
initial,S3,W2,,ɪˈnɪʃl,ɪˈnɪʃ(ə)l
inner,S3,W2,,ˈɪnər,ɪnə
innocent,,W3,,ˈɪnəsnt,ˈɪnəs(ə)nt
instant,S3,,,ˈɪnstənt,ˈɪnst(ə)nt
intellectual,,W3,ˌɪntəˈlektʃʊəl,,
intelligent,S3,,,ɪnˈtelɪdʒənt,ɪnˈtelɪdʒ(ə)nt
intense,,W3,ɪnˈtens,,
interested,S1,W2,,ˈɪntrəstɪd,ˈɪnt(ə)rɪstɪd
interesting,S1,W2,,ˈɪntrəstɪŋ,ˈɪnt(ə)rɪstɪŋ
internal,,W2,,ɪnˈtɜːrnl,ɪnˈtɜːn(ə)l
international,S2,W1,,ˌɪntərˈnæʃnəl,ɪntəˈnæʃ(ə)n(ə)l
involved,S2,W3,,ɪnˈvɑːlvd,ɪnˈvɒlvd
joint,S2,W2,dʒɔɪnt,,
junior,,W3,,ˈdʒuːnɪər,ˈdʒuːnɪə
keen,S3,W3,kiːn,,
key,S3,W2,kiː,,
kind,S2,W3,kaɪnd,,
known,,W3,nəʊn,,
large,S1,W1,,lɑːrdʒ,lɑːdʒ
last,S1,W1,,læst,lɑːst
late,S1,W1,leɪt,,
lazy,S3,,ˈleɪzɪ,,
leading,,W2,ˈliːdɪŋ,,
left,S1,W1,left,,
legal,S2,W1,,ˈliːɡl,ˈliːɡ(ə)l
level,S1,W2,,ˈlevl,ˈlev(ə)l
liberal,,W2,,ˈlɪbərəl,ˈlɪb(ə)r(ə)l
light,S1,W1,laɪt,,
likely,S1,W1,ˈlaɪklɪ,,
limited,,W2,ˈlɪmɪtɪd,,
literary,,W2,,ˈlɪtərerɪ,ˈlɪt(ə)(rə)rɪ
little,S1,W1,,ˈlɪtl,ˈlɪt(ə)l
live,S3,W3,lɪv,,
lively,S3,,ˈlaɪvlɪ,,
local,S1,W1,,ˈləʊkl,ˈləʊk(ə)l
logical,S3,,,ˈlɑːdʒɪkl,ˈlɒdʒɪk(ə)l
lonely,S3,,ˈləʊnlɪ,,
long,S1,W1,,lɔːŋ,lɒŋ
long-term,,W3,,ˈlɔːŋˈtɜːm,ˌlɒŋˈtɜːm
loose,S3,W3,luːs,,
lost,S2,W3,,lɔːst,lɒst
loud,S2,W3,laʊd,,
lovely,S1,W3,ˈlʌvlɪ,,
low,S1,W1,ləʊ,,
lower,,W3,,ˈləʊər,ˈləʊə
lucky,S2,W3,ˈlʌkɪ,,
mad,S2,W3,mæd,,
main,S1,W1,meɪn,,
major,S1,W1,,ˈmeɪdʒər,ˈmeɪdʒə
male,S3,W2,meɪl,,
married,S2,W2,ˈmærɪd,,
marvellous,S2,,,ˈmɑːrvələs,ˈmɑːv(ə)ləs
mass,,W3,mæs,,
massive,S2,W3,ˈmæsɪv,,
material,,W3,,məˈtɪrɪəl,məˈtɪərɪəl
maximum,S3,W3,ˈmæksɪməm,,
medical,S2,W2,,ˈmedɪkl,ˈmedɪk(ə)l
medieval,,W3,,ˌmedɪˈiːvl,ˌmedɪˈiːv(ə)l
medium,S3,,ˈmiːdɪəm,,
mental,S2,W2,,ˈmentl,ˈment(ə)l
mere,,W3,,mɪr,mɪə
messy,S3,,ˈmesɪ,,
middle,S1,W2,,ˈmɪdl,ˈmɪd(ə)l
military,S2,W1,,ˈmɪləterɪ,ˈmɪlɪt(ə)rɪ
minimum,S2,W3,ˈmɪnɪməm,,
minor,S2,W2,,ˈmaɪnər,ˈmaɪnə
mixed,S2,,mɪkst,,
modern,S1,W1,,ˈmɑːdərn,ˈmɒd(ə)n
moral,S3,W2,,ˈmɔːrəl,ˈmɒr(ə)l
musical,S3,W3,,ˈmjuːzɪkl,ˈmjuːzɪk(ə)l
naked,S3,,ˈneɪkɪd,,
narrow,S3,W2,ˈnærəʊ,,
nasty,S2,,,ˈnæstɪ,ˈnɑːstɪ
national,S1,W1,,ˈnæʃnəl,ˈnæʃ(ə)n(ə)l
native,S3,W3,ˈneɪtɪv,,
natural,S2,W1,,ˈnætʃrəl,ˈnætʃ(ə)r(ə)l
naughty,S3,,ˈnɔːtɪ,,
near,S2,W3,,nɪr,nɪə
nearby,,W3,,ˌnɪrˈbaɪ,ˌnɪəˈbaɪ
neat,S2,,niːt,,
necessary,S2,W1,,ˈnesəserɪ,ˈnesəs(ə)rɪ
negative,S2,W2,ˈneɡətɪv,,
nervous,S3,W3,,ˈnɜːrvəs,ˈnɜːvəs
new,S1,W1,,nuː,njuː
next,S1,W1,nekst,,
nice,S1,W2,naɪs,,
noisy,S3,,ˈnɔɪzɪ,,
normal,S1,W1,,ˈnɔːrml,ˈnɔːm(ə)l
northern,S2,W2,,ˈnɔːrðərn,ˈnɔːð(ə)n
nuclear,,W2,,ˈnuːklɪər,ˈnjuːklɪə
numerous,,W3,,ˈnuːmərəs,ˈnjuːm(ə)rəs
obvious,S2,W2,,ˈɑːbvɪəs,ˈɒbvɪəs
occasional,S3,W3,,əˈkeɪʒənl,əˈkeɪʒ(ə)n(ə)l
odd,S1,W3,,ɑːd,ɒd
off,S1,W1,,ɔːf,ɒf
official,S3,W2,,əˈfɪʃl,əˈfɪʃ(ə)l
OK,S1,,,əʊˈkeɪ,ˌəʊˈkeɪ
old,S1,W1,əʊld,,
on,S1,W1,,ɑːn,ɒn
only,S1,W1,ˈəʊnlɪ,,
open,S1,W1,ˈəʊpən,,
ordinary,S1,W2,,ˈɔːrdnerɪ,ˈɔːdɪn(ə)rɪ
organic,,W3,,ɔːrˈɡænɪk,ɔːˈɡænɪk
organized,S3,,,ˈɔːrɡənaɪzd,ˈɔːɡənaɪzd
original,S1,W1,,əˈrɪdʒənl,əˈrɪdʒɪn(ə)l
other,S1,W1,,ˈʌðər,ˈʌðə
outside,S2,W2,ˌaʊtˈsaɪd,,
outstanding,,W3,,aʊtˈstændɪŋ,æʊtˈstændɪŋ
over,S1,W1,,ˈəʊvər,ˈəʊvə
overall,S3,W2,,ˌəʊvərˈɔːl,ˈəʊvərɔːl
own,S1,W1,əʊn,,
pale,,W3,peɪl,,
particular,S1,W1,,pərˈtɪkjələr,pəˈtɪkjʊlə
past,S1,W1,,pæst,pɑːst
patient,,W3,,ˈpeɪʃnt,ˈpeɪʃ(ə)nt
peaceful,S3,,,ˈpiːsfl,ˈpiːsfʊl
perfect,S2,W2,,ˈpɜːrfɪkt (strong)/ˈpɜːfɪkt (weak),pərˈfekt (strong)/pəˈfekt (weak)
permanent,S2,W2,,ˈpɜːrmənənt,ˈpɜːm(ə)nənt
personal,S1,W1,,ˈpɜːrsənl,ˈpɜːs(ə)n(ə)l
physical,S2,W1,,ˈfɪzɪkl,ˈfɪzɪk(ə)l
pink,S2,W3,pɪŋk,,
plain,S2,W3,pleɪn,,
pleasant,S3,W3,,ˈpleznt,ˈplez(ə)nt
pleased,S2,W3,pliːzd,,
polite,S3,,pəˈlaɪt,,
political,S2,W1,,pəˈlɪtɪkl,pəˈlɪtɪk(ə)l
poor,S1,W1,,pʊr,pɔː(r)
popular,S2,W1,,ˈpɑːpjələr,ˈpɒpjʊlə
positive,S2,W2,,ˈpɑːzətɪv,ˈpɒzɪtɪv
possible,S1,W1,,ˈpɑːsəbl,ˈpɒsɪb(ə)l
potential,S3,W2,,pəˈtenʃl,pə(ʊ)ˈtenʃ(ə)l
powerful,S3,W2,,ˈpaʊərfl,ˈpaʊəfʊl
practical,S3,W2,,ˈpræktɪkl,ˈpræktɪk(ə)l
precise,,W3,prɪˈsaɪs,,
pregnant,S3,,ˈpreɡnənt,,
prepared,S2,,,prɪˈperd,prɪˈpeəd
present,S2,W2,,ˈpreznt,ˈprez(ə)nt
pretty,S2,W3,ˈprɪtɪ,,
previous,S1,W1,ˈpriːvɪəs,,
primary,S2,W2,,ˈpraɪmerɪ,ˈpraɪm(ə)rɪ
principal,,W2,,ˈprɪnsəpl,ˈprɪnsɪp(ə)l
prior,,W3,,ˈpraɪər,ˈpraɪə
private,S1,W1,ˈpraɪvət,,
professional,S2,W1,,prəˈfeʃənl,prəˈfeʃ(ə)n(ə)l
prompt,,W3,,prɑːmpt,prɒm(p)t
proper,S1,W2,,ˈprɑːpər,ˈprɒpə
proposed,,W3,prəˈpəʊzd,,
proud,S2,W3,praʊd,,
psychological,,W3,,ˌsaɪkəˈlɑːdʒɪkl,saɪkəˈlɒdʒɪk(ə)l
public,S1,W1,ˈpʌblɪk,,
pure,S3,W3,,pjʊr,pjʊə
purple,S3,,,ˈpɜːrpl,ˈpɜːp(ə)l
quick,S1,W2,kwɪk,,
quiet,S2,W2,ˈkwaɪət,,
radical,,W3,,ˈrædɪkl,ˈrædɪk(ə)l
rapid,,W3,ˈræpɪd,,
rare,S3,W2,,rer,reə
raw,,W3,rɔː,,
ready,S1,W2,ˈredɪ,,
real,S1,W1,,ˈriːəl,rɪəl
realistic,S3,,,ˌriːəˈlɪstɪk,rɪəˈlɪstɪk
reasonable,S1,W2,,ˈriːznəbl,ˈriːz(ə)nəb(ə)l
recent,S2,W1,,ˈriːsnt,ˈriːs(ə)nt
red,S1,W1,red,,
regional,S1,W2,ˈriːdʒənl,,
regular,S2,W2,,ˈreɡjələr,ˈreɡjʊlə
related,S2,W3,rɪˈleɪtɪd,,
relative,,W2,ˈrelətɪv,,
relevant,S2,W2,,ˈreləvənt,ˈrelɪv(ə)nt
religious,S2,W2,rɪˈlɪdʒəs,,
remaining,,W2,rɪˈmeɪnɪŋ,,
remarkable,,W3,,rɪˈmɑːrkəbl,rɪˈmɑːkəb(ə)l
remote,,W3,rɪˈməʊt,,
residential,,W3,,ˌrezɪˈdenʃl,rezɪˈdenʃ(ə)l
responsible,S2,W2,,rɪˈspɑːnsəbl,rɪˈspɒnsɪb(ə)l
rich,S2,W2,rɪtʃ,,
rid,S1,,rɪd,,
ridiculous,S2,,,rɪˈdɪkjələs,rɪˈdɪkjʊləs
right,S1,W1,raɪt,,
rough,S2,W3,rʌf,,
round,S1,W2,raʊnd,,
royal,S3,W1,ˈrɔɪəl,,
rude,S3,,ruːd,,
rural,,W2,,ˈrʊrəl,ˈrʊər(ə)l
sad,S2,W3,sæd,,
safe,S2,W2,seɪf,,
same,S1,W1,seɪm,,
satisfied,S3,,,ˈsætɪsfaɪd,ˈsætɪsfæɪd
scared,S3,,,skerd,skeəd
scientific,S3,W2,,ˌsaɪənˈtɪfɪk,saɪənˈtɪfɪk
secondary,S3,W2,,ˈsekənderɪ,ˈsek(ə)nd(ə)rɪ
secret,S3,W2,,ˈsiːkrət,ˈsiːkrɪt
secure,S3,W3,,səˈkjʊr,sɪˈkjʊə
senior,,W2,,ˈsiːnɪər,ˈsiːnɪə
sensible,S3,W3,,ˈsensəbl,ˈsensɪb(ə)l
sensitive,S3,W3,,ˈsensətɪv,ˈsensɪtɪv
separate,S2,W2,,ˈseprət,ˈsepəreɪt
serious,S1,W1,,ˈsɪrɪəs,ˈsɪərɪəs
severe,S3,W3,,sɪˈvɪr,sɪˈvɪə
sexual,S3,W2,ˈsekʃʊəl,,
sharp,S3,W2,,ʃɑːrp,ʃɑːp
shocked,S3,,,ˈʃɑːkt,ʃɒkt
shocking,S3,,,ˈʃɑːkɪŋ,ˈʃɒkɪŋ
short,S1,W1,,ʃɔːrt,ʃɔːt
sick,S1,W3,sɪk,,
significant,S2,W1,,sɪɡˈnɪfɪkənt,sɪɡˈnɪfɪk(ə)nt
silent,,W3,ˈsaɪlənt,,
silly,S2,,ˈsɪlɪ,,
similar,S1,W1,,ˈsɪmələr,ˈsɪmɪlə
simple,S1,W1,,ˈsɪmpl,ˈsɪmp(ə)l
single,S1,W1,,ˈsɪŋɡl,ˈsɪŋɡ(ə)l
slight,S2,W3,slaɪt,,
slim,S3,,slɪm,,
slow,S2,W2,sləʊ,,
small,S1,W1,smɔːl,,
smart,S2,W2,,smɑːrt,smɑːt
smooth,,W3,smuːð,,
so-called,,W3,,səʊ ˈkɔːld,ˌsəʊˈkɔːld
social,S1,W1,,ˈsəʊʃl,ˈsəʊʃ(ə)l
soft,S2,W2,,sɔːft,sɒft
