word;transcription;translation;success_number;learning_date
diverse;daɪˈvɜːs;разнообразный, различный;0;
drain;dreɪn;утечка;0;
editing;ˈedɪtɪŋ;редактирование;0;
embark;ɪmˈbɑːk;начинать;0;
emerge;ɪˈmə:dʒ;появляться;0;
emphasising;emphasising;подчеркивание;0;
emphasize;ˈɛmfəsʌɪz;подчеркнуть;0;
employability;ɪmˈplɔɪəˈbɪlɪti;трудоспособность;0;
employment;ɪmˈplɔɪmənt;занятость, работа;0;
enable;ɪˈneɪbl;позволять, включать;0;
enables;ɪˈneɪbəlz;позволяет;0;
encourage;ɪnˈkʌrɪdʒ;поддерживать;0;
encouraged;ɪnˈkʌrɪʤd;поощренный;0;
endeavor;ɪnˈdevə;пытаться;0;
especially;ɪˈspɛʃ(ə)li;особенно;0;
essence;esns;сущность;0;
essential;ɪˈsɛnʃ(ə)l;необходимый;0;
essential department;ɪˈsɛnʃ(ə)l dɪˈpɑːtm(ə)nt;необходимый отдел;0;
event;ɪˈvɛnt;события;0;
excessively;ekˈses.ɪv;чрезмерно;0;
exhilarate;ɪgˈzɪləreɪt;оживлять;0;
expand;ɪksˈpænd;расширяться;0;
experiment;ɪksˈperɪmənt;эксперимент;0;
explain;ɪksˈpleɪn;объяснять 	;0;
explanation;ekspləˈneɪʃn;объяснение;0;
explicitly;ɪkˈsplɪs.ɪt;явно, подробно, прямо;0;
exposing;ɪkˈspəʊzɪŋ;выставляющий, разоблачающий;0;
fallacy;ˈfæləsɪ;заблуждения;0;
familiarize;fəˈmɪlɪərʌɪz;ознакомиться;0;
fascinate;ˈfasɪneɪt;увлечь;0;
feature;ˈfi:tʃə;статья;0;
flexible;ˈfleksəbl;гибкий, эластичный;0;
for instance;fɔː ˈɪnst(ə)ns;например;0;
format;ˈfɔːmat;формат;0;
fun discussions;fʌn dɪˈskʌʃ(ə)n;веселые дискуссии;0;
futility;ˈfyo͞oˈtilətē;бесполезность;0;
gain experience;ɡeɪn ɪkˈspɪərɪəns;приобретать опыт;0;
gather;ˈɡaðə;объединить;0;
gauge;ɡeɪdʒ;мера;0;
generalization;dʒɛn(ə)rəlʌɪˈzeɪʃ(ə)n;обобщение;0;
genuinely;ˈdʒɛnjʊɪnli;искренне;0;
goal;gəʊl;цель;0;
grasp;ɡrɑ:sp;схватывание, восприятие;0;
guideline;ˈɡaɪdlaɪn;директива;0;
healthcare;ˈhelθkər;здравоохранение;0;
hinders;ˈhaɪndə;препятствовать;0;
hurdle;hɜːdl;препятствие, барьер;0;
illustrate;ˈɪləstreɪt;иллюстрировать;0;
impact;ˈɪmpækt;воздействие, вклад;0;
important;ɪmˈpɔ:tənt;важный;0;
important;ɪmˈpɔːt(ə)nt;важный;0;
impression;ɪmˈprɛʃ(ə)n;впечатление;0;
inconsistency;ɪnkənˈsɪstənsɪ;непоследовательность;0;
inequality;ˌɪni:ˈkwɔlɪtɪ;неравенство;0;
issue;ˈɪʃuː;вопрос;0;
issue;ˈɪʃu:;проблема;0;
job interview;dʒɒb ˈɪntəvjuː;собеседование;0;
joint;dʒɔɪnt;совместный;0;
knowledge;ˈnɔlɪdʒ;знание;0;
labour;ˈleɪbə;труд, рабочая сила;0;
leapfrog;ˈliːpfrɒg;обогнать, опередить;0;
metaphor;ˈmɛtəfə;метафора;0;
misconception;ˈmɪskənˈsepʃn;неправильно представление;0;
mutual;ˈmjuː.tʃu.əl;взаимный, общий;0;
nuclear;ˈnju:klɪə;атомная энергия;0;
obtain;əbˈteɪn;получать;0;
occupational;ɒkjʊˈpeɪʃ(ə)n(ə)l;профессиональный;0;
outline;ˈaʊtlʌɪn;набросок;0;
paper topic;ˈpeɪpə ˈtɒpɪk;тема исследования;0;
particularly;pəˈtɪkjələli;в частности;0;
perceive;pəˈsiːv;восприниматься;0;
persuasive;pəˈsweɪsɪv;убедительный;0;
persuasive;pəˈsweɪsɪv;убедительный;0;
pollution;pəˈluːʃn;загрязнение;0;
pose;pəʊz;представлять, ставить;0;
possibility;ˌpɒsɪˈbɪlɪti;возможность;0;
possible;ˈpɔsəbl;вероятный;0;
poverty;ˈpɔvətɪ;бедность;0;
powerhouse;ˈpauəhaus;электростанция;0;
practical;ˈpræktɪkəl;практический;0;
preliminary;prɪˈlɪmɪn(ə)ri;предварительный;0;
primary;ˈpraɪmərɪ;основное;0;
proceed;prəˈsiːd;продолжить;0;
products;ˈprɒdʌkts;средства;0;
promote;prəˈməʊt;способствовать, содействовать;0;
prompt;prɔmpt;быстрый, вызывать;0;
pronounce;prəˈnaʊns;произносить;0;
proofreading;ˈpruːfriːdɪŋ;читка корректуры;0;
providing;prəˈvaɪdɪŋ;обеспечение;0;
punctuation;pʌŋ(k)tʃʊˈeɪʃ(ə)n;пунктуация;0;
purpose;ˈpɜːpəs;цель, задача;0;
pursuing;pəˈsjuːɪŋ;преследуя;0;
quality;ˈkwɒlɪti;качественный;0;
quote;kwəʊt;цитата;0;
reciprocate;rɪˈsɪprəkeɪt;отвечать взаимностью;0;
recognize;ˈrekəɡnaɪz;признавать;0;
reduce;rɪˈdjuːs;свести, уменьшить;0;
reinforce;riːɪnˈfɔːs;усиливать;0;
relatively;ˈrelətɪvli;тносительно, соответственно, условно;0;
relevance;ˈrelɪvəns;значимость;0;
report-writing skills;rɪˈpɔːt- ˈrʌɪtɪŋ skɪlz;навыки написания отчётов;0;
require;rɪˈkwʌɪə;требовать;0;
research;rɪˈsə:tʃ;исследование;0;
restricted;rɪsˈtrɪktɪd;ограниченный;0;
result;rɪˈzʌlt;результат;0;
rewards;rɪˈwɔːdz;получать награды;0;
rhetorical;rɪˈtɒrɪk(ə)l;риторический;0;
satisfying;ˈsætɪsfaɪɪŋ;удовлетворяющий;0;
scientific conference;sʌɪənˈtɪfɪk ˈkɒnf(ə)r(ə)ns;научная конференция;0;
scientifically correct;ˌsaɪənˈtɪfɪkəli kəˈrɛkt;научно правильный;0;
selective;sɪˈlektɪv;отборный;0;
sequence;ˈsiːkw(ə)ns;последовательность;0;
sheet;ʃiːt;лист;0;
significant;sɪɡˈnɪfɪkənt;значительный;0;
skill;skɪl;навык;0;
speech;spiːtʃ;речь;0;
spelling;ˈspɛlɪŋ;правописание;0;
statement;ˈsteɪtm(ə)nt;заявление;0;
steadily;ˈsted.ɪ.li;неуклонно, стабильно;0;
strengthen;ˈstreŋθən;укреплять;0;
subscription;səbˈskrɪpʃn;абонент;0;
summarize;ˈsʌmərʌɪz;обобщать(резюмировать);0;
summarize;ˈsʌməraɪz;резюмировать;0;
sympathetic;ˌsɪmpəˈθetɪk;сочувствующий;0;
the challenge of presenting;ði: ˈtʃælɪndʒ of 'prez(ə)nt;задача представления;0;
thereafter;ðɛːrˈɑːftə;после этого;0;
to deduce;dɪˈdjuːs;выводить;0;
to enhance;ɪnˈhɑːns;усиливать, повышать;0;
to seek;siːk;искать;0;
transcend;trænˈsend;преодолевать, превзойти;0;
unethical;ˌʌnˈeθɪkəl;неэтично	;0;
unfinished;ˈʌnˈfɪnɪʃt;незаконченный;0;
value;ˈvæljuː;значение;0;
vast experience;vɑːst ɪkˈspɪərɪəns;огромный опыт;0;
verbatim;və:ˈbeɪtɪm;дословный;0;
victory;ˈvɪkt(ə)ri;победа;0;
warfare;ˈwɔː.feər;война;0;
weigh up;weɪ  ʌp;взвесить, решить;0;
émigré;ˈemɪɡreɪ;эмигрант;0;
