word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
begin,S1,W1,bɪˈɡɪn,,
behave,S3,W3,bɪˈheɪv,,
believe,S1,W1,bɪˈliːv,,
belong,S2,W2,,bɪˈlɔːŋ,bɪˈlɒŋ
bend,S3,W3,bend,,
benefit,S2,W3,ˈbenɪfɪt,,
bet,S1,,,bet,ˈbet
bite,S2,,baɪt,,
blame,S2,W3,bleɪm,,
bless,S3,,bles,,
block,S3,,,blɑːk,blɒk
blow,S2,W3,bləʊ,,
boil,S3,,bɔɪl,,
book,S2,,bʊk,,
born,S1,W2,,bɔːrn,bɔːn
borrow,S2,W3,,ˈbɑːrəʊ,ˈbɒrəʊ
bother,S1,W3,,ˈbɑːðər,ˈbɒðə
bounce,S3,,baʊns,,
break,S1,W1,breɪk,,
breathe,S3,W3,briːð,,
bring,S1,W1,brɪŋ,,
brush,S3,,brʌʃ,,
build,S1,W1,bɪld,,
bump,S3,,bʌmp,,
burn,S2,W3,,bɜːrn,bɜːn
burst,,W3,,bɜːrst,bɜːst
bury,,W3,ˈberɪ,,
buy,S1,W1,baɪ,,
calculate,S2,W3,ˈkælkjʊleɪt,,
call,S1,W1,kɔːl,,
cancel,S2,,,ˈkænsl,ˈkæns(ə)l
capture,,W3,,ˈkæptʃər,ˈkæptʃə
care,S1,W2,,ker,keə
carry,S1,W1,ˈkærɪ,,
cash,S3,,kæʃ,,
cast,,W3,,kæst,kɑːst
catch,S1,W1,kætʃ,,
cause,S1,W1,kɔːz,,
cease,,W3,siːs,,
celebrate,,W3,ˈselɪbreɪt,,
challenge,S3,W3,,ˈtʃælɪndʒ,ˈtʃælɪn(d)ʒ
change,S1,W1,,tʃeɪndʒ,tʃeɪn(d)ʒ
characterize,,W3,,ˈkærəktəraɪz,ˈkærəktəræɪz
charge,S1,W2,,tʃɑːrdʒ,tʃɑːdʒ
chase,S3,,tʃeɪs,,
cheat,S3,,tʃiːt,,
check,S1,W2,tʃek,,
choose,S1,W1,tʃuːz,,
chop,S3,,,tʃɑːp,tʃɒp
chuck,S3,,tʃʌk,,
claim,S1,W1,kleɪm,,
clean,S1,W3,kliːn,,
clear,S1,W2,,klɪr,klɪə
click,S3,,klɪk,,
climb,,W2,klaɪm,,
close,S1,W1,kləʊz,,
collapse,S3,,kəˈlæps,,
collect,S1,W2,kəˈlekt,,
combine,S3,W2,,kəmˈbaɪn,ˈkɑːmbaɪn (strong)/ˈkɒmbaɪn (weak)
come,S1,W1,kʌm,,
comment,S3,W3,,ˈkɑːment,ˈkɒment
commit,S2,W2,kəˈmɪt,,
communicate,S3,W3,kəˈmjuːnɪkeɪt,,
compare,S1,W1,,kəmˈper,kəmˈpeə
compete,S3,W3,kəmˈpiːt,,
complain,S2,W3,kəmˈpleɪn,,
complete,S2,W1,kəmˈpliːt,,
comprise,,W3,kəmˈpraɪz,,
concentrate,S2,W2,,ˈkɑːnsntreɪt,ˈkɒns(ə)ntreɪt
concern,,W3,,kənˈsɜːrn,kənˈsɜːn
conclude,S3,W2,kənˈkluːd,,
conduct,,W2,,kənˈdʌkt,ˈkɑːndʌkt (strong)/ˈkɒndʌkt (weak)
confine,,W3,kənˈfaɪn,,
confirm,S2,W2,,kənˈfɜːrm,kənˈfɜːm
connect,S2,W2,kəˈnekt,,
consider,S1,W1,,kənˈsɪdər,kənˈsɪdə
consist,,W3,kənˈsɪst,,
constitute,,W3,,ˈkɑːnstətuːt,ˈkɒnstɪtjuːt
construct,,W3,,kənˈstrʌkt,ˈkɑːnstrʌkt (strong)/ˈkɒnstrʌkt (weak)
consult,S3,W3,kənˈsʌlt,,
contact,S2,W2,,ˈkɑːntækt,ˈkɒntækt
contain,S2,W1,kənˈteɪn,,
continue,S1,W1,kənˈtɪnjuː,,
contribute,S3,W2,kənˈtrɪbjuːt,,
control,S2,W1,kənˈtrəʊl,,
convert,,W3,,kənˈvɜːrt (strong)/kənˈvɜːt (weak),ˈkɑːnvɜːrt (strong)/ˈkɒnvɜːt (weak)
convince,S3,W3,kənˈvɪns,,
cook,S1,W3,kʊk,,
cool,S2,,kuːl,,
cope,S2,W3,kəʊp,,
copy,S2,,,ˈkɑːpɪ,ˈkɒpɪ
correct,S3,,kəˈrekt,,
cost,S1,W2,,kɔːst,kɒst
count,S2,W3,kaʊnt,,
cover,S1,W1,,ˈkʌvər,ˈkʌvə
crack,S3,,kræk,,
create,S2,W1,,krɪˈeɪt,kriːˈeɪt
criticize,,W3,ˈkrɪtɪsaɪz,,
cross,S2,W2,,krɔːs,krɒs
cry,S2,W2,kraɪ,,
cut,S1,W1,kʌt,,
damage,S3,W3,ˈdæmɪdʒ,,
dance,S2,W3,,dæns,dɑːns
dare,S3,W3,,der,deə
date,S3,W3,deɪt,,
deal,S1,W1,diːl,,
decide,S1,W1,dɪˈsaɪd,,
declare,,W2,,dɪˈkler,dɪˈkleə
decline,,W3,dɪˈklaɪn,,
defeat,,W3,dɪˈfiːt,,
defend,S3,W3,dɪˈfend,,
define,S2,W2,dɪˈfaɪn,,
delay,,W3,dɪˈleɪ,,
deliver,S2,W2,,dɪˈlɪvər,dɪˈlɪvə
demand,,W2,,dɪˈmænd,dɪˈmɑːnd
demonstrate,S3,W2,ˈdemənstreɪt,,
deny,S3,W2,dɪˈnaɪ,,
depend,S1,W2,dɪˈpend,,
derive,,W3,dɪˈraɪv,,
describe,S2,W1,dɪˈskraɪb,,
deserve,S3,W3,,dɪˈzɜːrv,dɪˈzɜːv
design,S3,W1,dɪˈzaɪn,,
destroy,S2,W2,dɪˈstrɔɪ,,
detect,,W3,dɪˈtekt,,
determine,,W2,,dɪˈtɜːrmɪn,dɪˈtɜːmɪn
develop,S2,W1,dɪˈveləp,,
die,S1,W1,daɪ,,
differ,,W3,,ˈdɪfər,ˈdɪfə
dig,S2,,dɪɡ,,
direct,S3,W2,,dəˈrekt,dɪˈrekt
disagree,S3,,,ˌdɪsəˈɡriː,dɪsəˈɡriː
disappear,S2,W2,,ˌdɪsəˈpɪr,dɪsəˈpɪə
disappoint,,W3,,ˌdɪsəˈpɔɪnt,dɪsəˈpɔɪnt
discover,S2,W1,,dɪˈskʌvər,dɪˈskʌvə
discuss,S2,W1,dɪˈskʌs,,
dismiss,,W3,dɪsˈmɪs,,
display,,W2,dɪˈspleɪ,,
distinguish,S3,W3,dɪˈstɪŋɡwɪʃ,,
distribute,,W2,dɪˈstrɪbjuːt,,
disturb,,W3,,dɪˈstɜːrb,dɪˈstɜːb
divide,S2,W2,dɪˈvaɪd,,
do,S1,W1,duː,,
dominate,,W3,,ˈdɑːmɪneɪt,ˈdɒmɪneɪt
double,S3,,,ˈdʌbl,ˈdʌb(ə)l
doubt,S2,,daʊt,,
drag,S3,W3,dræɡ,,
draw,S1,W1,drɔː,,
dream,S3,W3,driːm,,
dress,S2,W2,dres,,
drink,S1,W2,drɪŋk,,
drive,S1,W1,draɪv,,
drop,S1,W2,,drɑːp,drɒp
dry,S2,W3,draɪ,,
dump,S3,,dʌmp,,
earn,S2,W2,,ɜːrn,ɜːn
ease,,W3,iːz,,
eat,S1,W1,iːt,,
elect,S3,W3,ɪˈlekt,,
email,S2,W2,ˈiːmeɪl,,
emerge,,W2,,ɪˈmɜːrdʒ,ɪˈmɜːdʒ
emphasize,S3,W2,ˈemfəsaɪz,,
employ,S3,W2,ɪmˈplɔɪ,,
enable,S3,W1,,ɪˈneɪbl,ɪˈneɪb(ə)l
encounter,,W3,,ɪnˈkaʊntər,ɪnˈkaʊntə
encourage,S2,W1,,ɪnˈkɜːrɪdʒ,ɪnˈkʌrɪdʒ
end,S1,W1,end,,
engage,,W3,ɪnˈɡeɪdʒ,,
enhance,,W3,,ɪnˈhæns,ɪnˈhɑːns
enjoy,S1,W1,ɪnˈdʒɔɪ,,
ensure,S2,W1,,ɪnˈʃʊr,ɪnˈʃʊə
enter,S2,W1,,ˈentər,ˈentə
entitle,S3,W3,,ɪnˈtaɪtl,ɪnˈtaɪt(ə)l
equal,S2,,,ˈiːkwəl,ˈiːkw(ə)l
escape,S3,W2,ɪˈskeɪp,,
establish,S2,W1,ɪˈstæblɪʃ,,
estimate,S3,W2,,ˈestɪmeɪt,ˈestɪmət
examine,S3,W2,ɪɡˈzæmɪn,,
exclude,,W3,ɪkˈskluːd,,
excuse,S1,,,ɪkˈskjuːs,ɪkˈskjuːz
exercise,S3,W2,,ˈeksərsaɪz,ˈeksəsaɪz
exist,S2,W1,ɪɡˈzɪst,,
expand,S3,W3,ɪkˈspænd,,
expect,S1,W1,ɪkˈspekt,,
experience,S2,W2,,ɪkˈspɪrɪəns,ɪkˈspɪərɪəns
explain,S1,W1,ɪkˈspleɪn,,
explore,S3,W2,,ɪkˈsplɔːr,ɪkˈsplɔː
expose,,W3,ɪkˈspəʊz,,
express,S2,W1,ɪkˈspres,,
extend,S3,W2,ɪkˈstend,,
face,S1,W1,feɪs,,
fail,S2,W1,feɪl,,
fall,S1,W1,fɔːl,,
fancy,S2,,ˈfænsɪ,,
favour,,W3,,ˈfeɪvər,ˈfeɪvə
fear,,W2,,fɪr,fɪə
feature,,W3,,ˈfiːtʃər,ˈfiːtʃə
feed,S1,W2,fiːd,,
feel,S1,W1,fiːl,,
fetch,S3,,fetʃ,,
fight,S1,W1,faɪt,,
figure,S1,W3,,ˈfɪɡjər,ˈfɪɡə
file,S3,W3,faɪl,,
fill,S1,W1,fɪl,,
finance,,W3,,ˈfaɪnæns,ˈfæɪnæns
find,S1,W1,faɪnd,,
finish,S1,W2,ˈfɪnɪʃ,,
fire,S3,W3,,ˈfaɪər,ˈfaɪə
fish,S3,,fɪʃ,,
fit,S1,W2,fɪt,,
fix,S2,W2,fɪks,,
flash,S3,,flæʃ,,
flood,,W3,flʌd,,
flow,,W3,fləʊ,,
fly,S2,W2,flaɪ,,
focus,S3,W2,ˈfəʊkəs,,
fold,,W3,fəʊld,,
follow,S1,W1,,ˈfɑːləʊ,ˈfɒləʊ
force,S2,W1,,fɔːrs,fɔːs
forget,S1,W1,,fərˈɡet,fəˈɡet
forgive,S3,,,fərˈɡɪv,fəˈɡɪv
form,S2,W1,,fɔːrm,ˈfɔːm
free,S3,W3,friː,,
freeze,S3,W3,friːz,,
fry,S3,,fraɪ,,
fulfil,,W3,fʊlˈfɪl,,
fund,S3,W3,fʌnd,,
gain,S3,W2,ɡeɪn,,
gather,S3,W2,,ˈɡæðər,ˈɡæðə
generate,S3,W2,ˈdʒenəreɪt,,
get,S1,W1,ɡet,,
give,S1,W1,ɡɪv,,
go,S1,W1,ɡəʊ,,
govern,,W3,,ˈɡʌvərn,ˈɡʌv(ə)n
grab,S2,W3,ɡræb,,
grant,S2,W2,,ɡrænt,ɡrɑːnt
grow,S1,W1,ɡrəʊ,,
guarantee,S2,W3,,ˌɡærənˈtiː,ɡær(ə)nˈtiː
guess,S1,W3,ɡes,,
guide,,W3,ɡaɪd,,
hand,S2,W2,hænd,,
handle,S2,W2,,ˈhændl,ˈhænd(ə)l
hang,S1,W2,hæŋ,,
happen,S1,W1,,ˈhæpən,ˈhæp(ə)n
hate,S1,W3,heɪt,,
have,S1,W1,hæv (strong)/həv (weak),,
have,S1,W1,hæv (strong)/həv (weak),,
have,S1,W3,hæv (strong)/həv (weak),,
head,S2,W2,hed,,
hear,S1,W1,,hɪr,hɪə
heat,S3,,hiːt,,
help,S1,W1,help,,
hesitate,,W3,ˈhezɪteɪt,,
hide,S2,W2,haɪd,,
highlight,,W3,ˈhaɪlaɪt,,
hire,S2,W3,,ˈhaɪər,ˈhaɪə
hit,S1,W2,hɪt,,
hold,S1,W1,həʊld,,
hook,S3,,hʊk,,
hope,S1,W1,həʊp,,
hunt,,W3,hʌnt,,
hurry,S3,,,ˈhɜːrɪ,ˈhʌrɪ
hurt,S1,W2,,hɜːrt,hɜːt
identify,S2,W1,aɪˈdentɪfaɪ,,
ignore,S2,W2,,ɪɡˈnɔːr,ɪɡˈnɔː
illustrate,,W2,ˈɪləstreɪt,,
imagine,S1,W2,ɪˈmædʒɪn,,
implement,,W3,,ˈɪmplɪment,ˈɪmplɪmənt
imply,,W2,ɪmˈplaɪ,,
impose,S3,W2,ɪmˈpəʊz,,
impress,S3,W3,ɪmˈpres,,
improve,S2,W1,ɪmˈpruːv,,
include,S1,W1,ɪnˈkluːd,,
incorporate,,W3,,ɪnˈkɔːrpəreɪt,ɪnˈkɔːpəreɪt
increase,S2,W1,,ɪnˈkriːs,ˈɪŋkriːs
indicate,S3,W1,ˈɪndɪkeɪt,,
influence,S3,W2,ˈɪnflʊəns,,
inform,S3,W3,,ɪnˈfɔːrm,ɪnˈfɔːm
injure,,W3,,ˈɪndʒər,ˈɪndʒə
insist,S3,W2,ɪnˈsɪst,,
install,,W3,ɪnˈstɔːl,,
intend,S2,W1,ɪnˈtend,,
interpret,,W3,,ɪnˈtɜːrprɪt,ɪnˈtɜːprɪt
interview,S2,,,ˈɪntərvjuː,ˈɪntəvjuː
introduce,S2,W1,,ɪntrəˈduːs,ɪntrəˈdjuːs
invest,S3,W3,ɪnˈvest,,
investigate,,W2,ɪnˈvestɪɡeɪt,,
invite,S2,W2,,ɪnˈvaɪt,ˈɪnvaɪt
involve,S2,W1,,ɪnˈvɑːlv,ɪnˈvɒlv
iron,S3,,,ˈaɪərn,ˈaɪən
issue,S3,W2,ˈɪʃuː,,
join,S1,W1,dʒɔɪn,,
joke,S3,,dʒəʊk,,
judge,S3,W3,dʒʌdʒ,,
jump,S2,W3,dʒʌmp,,
justify,S3,W3,ˈdʒʌstɪfaɪ,,
keep,S1,W1,kiːp,,
kick,S2,W3,,kɪk,ˈkɪk
kid,S2,,kɪd,,
kill,S1,W1,kɪl,,
kiss,S3,W3,kɪs,,
knock,S1,W3,,nɑːk,nɒk
know,S1,W1,nəʊ,,
lack,,W3,læk,,
land,S2,W3,lænd,,
last,S1,W2,,læst,lɑːst
laugh,S2,W2,,læf,lɑːf
launch,,W2,,lɔːntʃ,lɔːn(t)ʃ
lay,S1,W2,leɪ,,
lead,S1,W1,liːd,,
lean,S3,,liːn,,
learn,S1,W1,,lɜːrn,lɜːn
leave,S1,W1,liːv,,
lend,S3,W3,lend,,
let,S1,W1,let,,
lick,S3,,lɪk,,
lie,S2,W1,laɪ,,
lie,S3,W3,laɪ,,
lift,S2,W2,lɪft,,
light,S2,W3,laɪt,,
like,S1,W1,laɪk,,
limit,S3,W2,ˈlɪmɪt,,
link,S3,W2,lɪŋk,,
list,S2,W3,lɪst,,
listen,S1,W1,,ˈlɪsn,ˈlɪs(ə)n
live,S1,W1,lɪv,,
locate,,W3,,ˈləʊkeɪt,lə(ʊ)ˈkeɪt
lock,S2,W3,,lɑːk,lɒk
look,S1,W1,lʊk,,
lose,S1,W1,luːz,,
love,S1,W1,lʌv,,
lower,S3,W3,,ˈləʊər,ˈləʊə
mail,S3,,meɪl,,
maintain,S2,W1,meɪnˈteɪn,,
make,S1,W1,meɪk,,
manage,S1,W1,ˈmænɪdʒ,,
march,,W2,,mɑːrtʃ,mɑːtʃ
mark,S2,W2,,mɑːrk,mɑːk
marry,S1,W2,ˈmærɪ,,
match,S3,W2,mætʃ,,
matter,S1,W3,,ˈmætər,ˈmætə
mean,S1,W1,miːn,,
measure,S2,W2,,ˈmeʒər,ˈmeʒə
meet,S1,W1,miːt,,
mention,S1,W1,,ˈmenʃn,ˈmenʃ(ə)n
mess,S2,,mes,,
mind,S1,W2,maɪnd,,
miss,S1,W2,mɪs,,
mix,S2,W3,mɪks,,
monitor,S3,W3,,ˈmɑːnɪtər,ˈmɒnɪtə
move,S1,W1,muːv,,
name,S2,W2,neɪm,,
need,S1,W1,niːd,,
negotiate,S3,W3,nɪˈɡəʊʃɪeɪt,,
net,,W3,net,,
nod,,W2,,nɑːd,nɒd
note,S3,W1,nəʊt,,
notice,S1,W2,ˈnəʊtɪs,,
object,S2,,,ˈɒbdʒekt (strong)/ˈɒbdʒɪkt (weak),əbˈdʒekt
observe,,W2,,əbˈzɜːrv,əbˈzɜːv
obtain,S3,W2,əbˈteɪn,,
occupy,,W2,,ˈɑːkjʊpaɪ,ˈɒkjʊpaɪ
occur,S1,W1,,əˈkɜːr,əˈkɜː
offer,S1,W1,,ˈɔːfər,ˈɒfə
open,S1,W1,ˈəʊpən,,
operate,S2,W2,,ˈɑːpəreɪt,ˈɒpəreɪt
oppose,S3,W3,əˈpəʊz,,
order,S2,W2,,ˈɔːrdər,ˈɔːdə
organize,S1,W2,,ˈɔːrɡənaɪz,ˈɔːɡ(ə)naɪz
overcome,,W3,,ˌəʊvərˈkʌm,əʊvəˈkʌm
owe,S2,W3,əʊ,,
own,S2,W2,əʊn,,
pack,S2,W3,pæk,,
paint,S2,W3,peɪnt,,
park,S2,,,pɑːrk,pɑːk
participate,,W3,,pɑːrˈtɪsɪpeɪt,pɑːˈtɪsɪpeɪt
pass,S1,W1,,pæs,pɑːs
pause,,W3,pɔːz,,
pay,S1,W1,peɪ,,
perceive,,W3,,pərˈsːv,pəˈsiːv
perform,S3,W2,,pərˈfɔːrm,pəˈfɔːm
permit,,W3,,pərˈmɪt (strong)/pəˈmɪt (weak),ˈpɜːrmɪt (strong)/ˈpɜːmɪt (weak)
persuade,S3,W2,,pərˈsweɪd,pəˈsweɪd
phone,S1,,fəʊn,,
photocopy,S3,W3,,ˈfəʊtəʊkɑːpɪ,ˈfəʊtəʊkɒpɪ
pick,S1,W1,pɪk,,
place,S2,W1,pleɪs,,
plan,S1,W1,plæn,,
play,S1,W1,pleɪ,,
please,,W3,pliːz,,
point,S2,W2,pɔɪnt,,
pop,S2,,,pɑːp,pɒp
pose,,W3,pəʊz,,
possess,,W3,pəˈzes,,
post,S3,,pəʊst,,
pour,S2,W3,,pɔːr,pɔː
practise,S3,W3,ˈpræktɪs,,
pray,S3,W3,preɪ,,
predict,,W3,prɪˈdɪkt,,
prefer,S2,W2,,prɪˈfɜːr,prɪˈfɜː
prepare,S1,W1,,prɪˈper,prɪˈpeə
present,S2,W1,,ˈpreznt,ˈprez(ə)nt
preserve,,W3,,prɪˈzɜːrv,prɪˈzɜːv
press,S1,W2,pres,,
presume,S3,,,prɪˈzuːm,prɪˈzjuːm
pretend,S2,W3,prɪˈtend,,
prevent,S2,W1,prɪˈvent,,
print,S2,W3,prɪnt,,
proceed,S3,W3,,prəʊˈsiːd,prəˈsiːd
produce,S1,W1,,prəˈduːs (strong)/prəˈdjuːs (weak),ˈprəʊduːs (strong)/ˈprɒdjuːs (weak)
promise,S2,W2,,ˈprɑːmɪs,ˈprɒmɪs
promote,S3,W2,prəˈməʊt,,
propose,S2,W2,prəˈpəʊz,,
protect,S2,W2,prəˈtekt,,
prove,S2,W1,pruːv,,
provide,S1,W1,prəˈvaɪd,,
publish,S3,W1,ˈpʌblɪʃ,,
pull,S1,W1,pʊl,,
punch,S3,,,pʌntʃ,pʌn(t)ʃ
purchase,,W3,,ˈpɜːrtʃəs,ˈpɜːtʃɪs
pursue,S3,W2,,pərˈsuː,pəˈsjuː
push,S1,W2,pʊʃ,,
put,S1,W1,pʊt,,
qualify,S3,W3,,ˈkwɑːlɪfaɪ,ˈkwɒlɪfaɪ
question,S2,W3,,ˈkwestʃən,ˈkwestʃ(ə)n
quit,S3,,kwɪt,,
quote,S2,W3,kwəʊt,,
rain,S3,,reɪn,,
raise,S1,W1,reɪz,,
range,,W3,,reɪndʒ,reɪn(d)ʒ
reach,S1,W1,riːtʃ,,
react,S3,W3,rɪˈækt,,
read,S1,W1,riːd,,
realize,S1,W1,,ˈriːəlaɪz,ˈrɪəlaɪz
recall,S3,W2,,rɪˈkɔːl,rɪˈkɔːl (strong)/ˈriːkɔːl (weak)
receive,S1,W1,rɪˈsiːv,,
reckon,S1,W3,,ˈrekən,ˈrek(ə)n
recognize,S1,W1,ˈrekəɡnaɪz,,
recommend,S2,W2,,ˌrekəˈmend,rekəˈmend
record,S3,W2,,ˈrekərd (strong)/ˈrekɔːd (weak),rɪˈkɔːrd (strong)/rɪˈkɔːd (weak)
recover,,W2,,rɪˈkʌvər,rɪˈkʌvə
reduce,S1,W1,,rɪˈduːs,rɪˈdjuːs
refer,S1,W1,,rɪˈfɜːr,rɪˈfɜː
reflect,S2,W1,rɪˈflekt,,
refuse,S2,W1,,rɪˈfjuːz,ˈrefjuːs
regard,S2,W1,,rɪˈɡɑːrd,rɪˈɡɑːd
register,S3,W3,,ˈredʒɪstər,ˈredʒɪstə
regret,,W3,rɪˈɡret,,
reinforce,,W3,,ˌriːɪnˈfɔːrs,riːɪnˈfɔːs
reject,S3,W2,,rɪˈdʒekt,ˈriːdʒekt
relate,S2,W1,rɪˈleɪt,,
relax,S3,W3,rɪˈlæks,,
release,S2,W2,rɪˈliːs,,
relieve,S3,,rɪˈliːv,,
rely,S3,W2,rɪˈlaɪ,,
remain,S1,W1,rɪˈmeɪn,,
remember,S1,W1,,rɪˈmembər,rɪˈmembə
remind,S1,W2,rɪˈmaɪnd,,
remove,S2,W1,rɪˈmuːv,,
rent,S2,W3,rent,,
repair,S3,,,rɪˈper,rɪˈpeə
repeat,S2,W2,rɪˈpiːt,,
replace,S2,W1,rɪˈpleɪs,,
reply,,W2,rɪˈplaɪ,,
report,S2,W1,,rɪˈpɔːrt,rɪˈpɔːt
represent,S2,W1,,ˌreprɪˈzent,reprɪˈzent
require,S1,W1,,rɪˈkwaɪər,rɪˈkwaɪə
rescue,S3,W3,ˈreskjuː,,
reserve,,W3,,rɪˈzɜːrv,rɪˈzɜːv
resign,,W3,rɪˈzaɪn,,
resist,,W3,rɪˈzɪst,,
resolve,,W3,,rɪˈzɑːlv,rɪˈzɒlv
respond,S2,W2,,rɪˈspɑːnd,rɪˈspɒnd
rest,S3,W3,rest,,
restore,,W3,,rɪˈstɔːr,rɪˈstɔː
restrict,,W3,rɪˈstrɪkt,,
result,,W2,rɪˈzʌlt,,
retain,,W2,rɪˈteɪn,,
retire,S2,W3,,rɪˈtaɪər,rɪˈtaɪə
return,S2,W1,,rɪˈtɜːrn,rɪˈtɜːn
reveal,,W1,rɪˈviːl,,
reverse,,W3,,rɪˈvɜːrs,rɪˈvɜːs
review,S3,W3,rɪˈvjuː,,
ride,S2,W2,raɪd,,
ring,S1,W2,rɪŋ,,
rip,S3,,rɪp,,
rise,S2,W1,raɪz,,
rob,S3,,,rɑːb,rɒb
roll,S1,W2,rəʊl,,
rub,S2,,rʌb,,
ruin,S3,,ˈruːɪn,,
rule,,W2,ruːl,,
run,S1,W1,rʌn,,
rush,S2,W3,rʌʃ,,
sail,S3,,seɪl,,
satisfy,S3,W2,,ˈsætɪsfaɪ,ˈsætɪsfæɪ
save,S1,W1,seɪv,,
say,S1,W1,seɪ,,
schedule,S3,,,ˈskedʒuːl,ˈʃedjuːl
score,S3,W2,,skɔːr,skɔː
scratch,S3,,skrætʃ,,
scream,S3,,skriːm,,
search,,W3,,sɜːrtʃ,sɜːtʃ
secure,,W3,,səˈkjʊr,sɪˈkjʊə
see,S1,W1,siː,,
seek,S2,W1,siːk,,
seem,S1,W1,siːm,,
seize,,W3,siːz,,
select,S2,W2,sɪˈlekt,,
sell,S1,W1,sel,,
send,S1,W1,send,,
separate,S2,W2,,ˈseprət,ˈsepəreɪt
serve,S1,W1,,sɜːrv,sɜːv
set,S1,W1,set,,
settle,S2,W2,,ˈsetl,ˈset(ə)l
sew,S3,,səʊ,,
shake,S3,W2,ʃeɪk,,
share,S1,W1,,ʃer,ʃeə
shave,S3,,ʃeɪv,,
shift,S3,W3,ʃɪft,,
shine,S3,,ʃaɪn,,
shoot,S2,W2,ʃuːt,,
shout,S2,W2,ʃaʊt,,
shove,S3,,ʃʌv,,
show,S1,W1,ʃəʊ,,
shrug,,W3,ʃrʌɡ,,
shut,S1,W2,ʃʌt,,
sign,S2,W2,saɪn,,
sing,S1,W2,sɪŋ,,
sink,,W3,sɪŋk,,
sit,S1,W1,sɪt,,
sleep,S1,W2,sliːp,,
slide,S3,W3,slaɪd,,
slip,S3,W2,slɪp,,
slow,S3,W2,sləʊ,,
smell,S2,W3,smel,,
smile,S3,W1,smaɪl,,
smoke,S2,W2,sməʊk,,
snap,,W3,snæp,,
solve,S2,W3,,sɑːlv,sɒlv
sort,S1,W3,,sɔːrt,sɔːt
sound,S1,W2,saʊnd,,
spare,S3,,,sper,speə
speak,S1,W1,spiːk,,
specify,,W3,ˈspesɪfaɪ,,
spell,S2,,spel,,
spend,S1,W1,spend,,
spill,S3,,spɪl,,
spin,S3,,spɪn,,
split,S2,W3,splɪt,,
spoil,S3,,spɔɪl,,
spot,S3,,,spɑːt,spɒt
spray,S3,,spreɪ,,
spread,S2,W2,spred,,
